symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,disease
fever,headache,dry cough,body ache,weakness,vomiting,loss of appetite,,typhoid
slow healing,weight loss,blurred vision,increased thirst,tingling in feet,hunger,fatigue,,diabetes
high temperature,loss of appetite,sweating,headache,sore throat,fatigue,chills,body pain,fever
cough,fever,rapid breathing,phlegm,shortness of breath,fatigue,chills,,pneumonia
slow heart rate,fatigue,memory problems,hair loss,weight gain,dry skin,depression,muscle weakness,thyroid
headache,nausea,fatigue,fever,sweating,vomiting,chills,,malaria
coughing,short breaths,fatigue,chest tightness,rapid breathing,trouble sleeping,wheezing,,asthma
chills,fatigue,nausea,vomiting,rapid heartbeat,muscle pain,sweating,fever,malaria
fatigue,sweating,loss of appetite,weakness,body pain,chills,high temperature,,fever
irregular heartbeat,dizziness,fatigue,shortness of breath,nausea,chest pain,jaw pain,cold sweat,heart attack
headache,rapid heartbeat,vomiting,sweating,fever,nausea,chills,,malaria
neck pain,fatigue,headache,sensitivity to light,vomiting,vision issues,sound sensitivity,nausea,migraine
headache,sweating,high temperature,weakness,sore throat,loss of appetite,fatigue,,fever
fatigue,rapid heartbeat,vomiting,sweating,nausea,muscle pain,chills,headache,malaria
fatigue,slow healing,hunger,frequent urination,tingling in feet,increased thirst,blurred vision,weight loss,diabetes
tingling in feet,weight loss,frequent urination,increased thirst,fatigue,blurred vision,slow healing,hunger,diabetes
cough,rapid breathing,chest pain,chills,shortness of breath,fever,fatigue,phlegm,pneumonia
headache,constipation,fever,body ache,vomiting,dry cough,weakness,,typhoid
sensitivity to light,vision issues,neck pain,fatigue,nausea,headache,sound sensitivity,,migraine
bleeding,fatigue,loss of appetite,night sweats,lump,weight loss,pain,weakness,cancer
frequent urination,slow healing,increased thirst,fatigue,hunger,weight loss,tingling in feet,,diabetes
chest tightness,breathlessness,coughing,fatigue,rapid breathing,wheezing,trouble sleeping,,asthma
fatigue,pain,bleeding,night sweats,weight loss,lump,weakness,skin changes,cancer
shortness of breath,nausea,dizziness,cold sweat,jaw pain,chest pain,left arm pain,fatigue,heart attack
vomiting,body ache,dry cough,constipation,weakness,abdominal pain,fever,,typhoid
fatigue,chills,fever,sweating,vomiting,muscle pain,headache,nausea,malaria
hair loss,depression,slow heart rate,fatigue,memory problems,weight gain,muscle weakness,,thyroid
slow healing,frequent urination,weight loss,hunger,increased thirst,blurred vision,tingling in feet,,diabetes
sweating,sore throat,body pain,fatigue,high temperature,weakness,loss of appetite,headache,fever
rapid heartbeat,headache,fatigue,fever,muscle pain,nausea,sweating,,malaria
chills,headache,fatigue,rapid heartbeat,muscle pain,nausea,vomiting,,malaria
chest pain,dizziness,fatigue,jaw pain,shortness of breath,irregular heartbeat,cold sweat,nausea,heart attack
muscle pain,chills,nausea,headache,sweating,vomiting,fatigue,rapid heartbeat,malaria
slow heart rate,hair loss,weight gain,muscle weakness,fatigue,depression,dry skin,memory problems,thyroid
headache,sweating,nausea,fever,rapid heartbeat,fatigue,muscle pain,chills,malaria
frequent urination,slow healing,hunger,tingling in feet,blurred vision,weight loss,increased thirst,fatigue,diabetes
weakness,sweating,headache,sore throat,loss of appetite,high temperature,chills,fatigue,fever
nausea,jaw pain,shortness of breath,dizziness,cold sweat,fatigue,chest pain,,heart attack
frequent urination,fatigue,slow healing,weight loss,tingling in feet,hunger,blurred vision,,diabetes
vomiting,vision issues,neck pain,nausea,fatigue,sensitivity to light,sound sensitivity,headache,migraine
left arm pain,jaw pain,fatigue,chest pain,cold sweat,dizziness,irregular heartbeat,,heart attack
skin changes,loss of appetite,lump,weakness,bleeding,night sweats,pain,weight loss,cancer
weight gain,hair loss,memory problems,dry skin,muscle weakness,slow heart rate,fatigue,depression,thyroid
tingling in feet,fatigue,hunger,blurred vision,weight loss,frequent urination,slow healing,,diabetes
fever,sweating,rapid heartbeat,chills,headache,nausea,fatigue,muscle pain,malaria
neck pain,sensitivity to light,vomiting,fatigue,sound sensitivity,nausea,vision issues,,migraine
cough,fatigue,phlegm,rapid breathing,shortness of breath,chest pain,chills,,pneumonia
sound sensitivity,headache,vomiting,sensitivity to light,nausea,fatigue,vision issues,,migraine
body ache,constipation,headache,weakness,loss of appetite,dry cough,abdominal pain,fever,typhoid
fever,shortness of breath,chills,phlegm,chest pain,cough,rapid breathing,fatigue,pneumonia
sensitivity to light,headache,fatigue,vomiting,vision issues,nausea,sound sensitivity,,migraine
sweating,rapid heartbeat,nausea,fatigue,headache,chills,fever,,malaria
sound sensitivity,neck pain,vomiting,headache,fatigue,nausea,vision issues,sensitivity to light,migraine
dry cough,fever,constipation,weakness,body ache,vomiting,abdominal pain,,typhoid
nausea,sound sensitivity,neck pain,vomiting,fatigue,headache,sensitivity to light,,migraine
muscle pain,vomiting,sweating,nausea,rapid heartbeat,headache,chills,,malaria
chills,headache,vomiting,fatigue,sweating,rapid heartbeat,muscle pain,,malaria
dry skin,weight gain,fatigue,muscle weakness,depression,memory problems,slow heart rate,,thyroid
slow heart rate,memory problems,hair loss,dry skin,weight gain,fatigue,depression,,thyroid
memory problems,muscle weakness,dry skin,slow heart rate,fatigue,hair loss,weight gain,depression,thyroid
hair loss,memory problems,fatigue,slow heart rate,dry skin,depression,weight gain,,thyroid
wheezing,chest tightness,breathlessness,trouble sleeping,fatigue,rapid breathing,short breaths,,asthma
dry cough,body ache,fever,headache,abdominal pain,constipation,loss of appetite,,typhoid
fever,phlegm,chest pain,fatigue,cough,chills,rapid breathing,,pneumonia
fatigue,neck pain,headache,vomiting,nausea,vision issues,sound sensitivity,,migraine
chills,muscle pain,headache,nausea,vomiting,rapid heartbeat,fever,fatigue,malaria
fatigue,chest pain,shortness of breath,phlegm,cough,rapid breathing,chills,fever,pneumonia
vomiting,body ache,fever,loss of appetite,headache,weakness,constipation,,typhoid
headache,vision issues,vomiting,sound sensitivity,sensitivity to light,neck pain,nausea,,migraine
headache,weakness,vomiting,fever,loss of appetite,body ache,abdominal pain,,typhoid
shortness of breath,fever,cough,fatigue,chest pain,rapid breathing,chills,phlegm,pneumonia
weakness,high temperature,headache,sweating,body pain,sore throat,fatigue,,fever
fatigue,cough,fever,chills,chest pain,rapid breathing,phlegm,shortness of breath,pneumonia
constipation,dry cough,abdominal pain,fever,loss of appetite,headache,vomiting,body ache,typhoid
weakness,dry cough,vomiting,constipation,abdominal pain,loss of appetite,body ache,fever,typhoid
skin changes,loss of appetite,fatigue,night sweats,weight loss,lump,pain,,cancer
breathlessness,wheezing,fatigue,coughing,trouble sleeping,chest tightness,rapid breathing,,asthma
frequent urination,tingling in feet,increased thirst,hunger,blurred vision,fatigue,slow healing,weight loss,diabetes
hair loss,fatigue,dry skin,memory problems,muscle weakness,slow heart rate,weight gain,,thyroid
sound sensitivity,vision issues,neck pain,nausea,headache,sensitivity to light,vomiting,fatigue,migraine
muscle pain,sweating,rapid heartbeat,fever,nausea,headache,vomiting,,malaria
coughing,chest tightness,breathlessness,wheezing,short breaths,rapid breathing,trouble sleeping,fatigue,asthma
fever,chest pain,rapid breathing,phlegm,cough,fatigue,chills,,pneumonia
dizziness,cold sweat,irregular heartbeat,jaw pain,left arm pain,fatigue,nausea,,heart attack
irregular heartbeat,nausea,chest pain,jaw pain,cold sweat,shortness of breath,dizziness,left arm pain,heart attack
weakness,high temperature,fatigue,sore throat,loss of appetite,body pain,headache,,fever
vision issues,nausea,vomiting,headache,neck pain,fatigue,sensitivity to light,sound sensitivity,migraine
rapid breathing,phlegm,fatigue,chills,cough,fever,shortness of breath,chest pain,pneumonia
blurred vision,weight loss,hunger,tingling in feet,fatigue,slow healing,increased thirst,frequent urination,diabetes
memory problems,depression,muscle weakness,dry skin,fatigue,weight gain,hair loss,,thyroid
wheezing,short breaths,coughing,fatigue,chest tightness,breathlessness,rapid breathing,,asthma
high temperature,chills,weakness,fatigue,loss of appetite,sore throat,body pain,sweating,fever
chills,fever,muscle pain,headache,fatigue,nausea,rapid heartbeat,sweating,malaria
phlegm,rapid breathing,cough,chills,chest pain,fever,fatigue,shortness of breath,pneumonia
cold sweat,chest pain,nausea,jaw pain,shortness of breath,irregular heartbeat,fatigue,,heart attack
left arm pain,dizziness,irregular heartbeat,nausea,fatigue,shortness of breath,cold sweat,,heart attack
frequent urination,slow healing,blurred vision,fatigue,increased thirst,tingling in feet,weight loss,hunger,diabetes
headache,rapid heartbeat,nausea,sweating,fever,chills,vomiting,,malaria
trouble sleeping,chest tightness,fatigue,coughing,wheezing,rapid breathing,breathlessness,,asthma
chest pain,fatigue,chills,phlegm,shortness of breath,fever,rapid breathing,cough,pneumonia
vision issues,vomiting,sound sensitivity,nausea,headache,sensitivity to light,neck pain,,migraine
hunger,slow healing,frequent urination,weight loss,tingling in feet,blurred vision,fatigue,increased thirst,diabetes
headache,vomiting,constipation,loss of appetite,dry cough,abdominal pain,body ache,,typhoid
tingling in feet,frequent urination,hunger,increased thirst,weight loss,blurred vision,fatigue,slow healing,diabetes
bleeding,night sweats,skin changes,fatigue,pain,loss of appetite,weight loss,,cancer
vomiting,sensitivity to light,fatigue,sound sensitivity,vision issues,nausea,neck pain,headache,migraine
muscle weakness,hair loss,weight gain,fatigue,slow heart rate,dry skin,depression,memory problems,thyroid
wheezing,rapid breathing,coughing,trouble sleeping,fatigue,breathlessness,short breaths,,asthma
lump,skin changes,fatigue,weakness,weight loss,loss of appetite,pain,,cancer
nausea,headache,fatigue,fever,sweating,muscle pain,rapid heartbeat,,malaria
vision issues,nausea,neck pain,sensitivity to light,fatigue,sound sensitivity,headache,,migraine
hair loss,fatigue,weight gain,dry skin,depression,slow heart rate,memory problems,muscle weakness,thyroid
nausea,sensitivity to light,vision issues,headache,sound sensitivity,vomiting,neck pain,,migraine
rapid breathing,fatigue,phlegm,shortness of breath,fever,chills,chest pain,,pneumonia
wheezing,chest tightness,coughing,breathlessness,trouble sleeping,rapid breathing,fatigue,,asthma
sweating,headache,fatigue,vomiting,rapid heartbeat,chills,fever,nausea,malaria
sensitivity to light,fatigue,vision issues,headache,neck pain,nausea,sound sensitivity,vomiting,migraine
nausea,vomiting,neck pain,fatigue,headache,sensitivity to light,vision issues,sound sensitivity,migraine
frequent urination,hunger,increased thirst,blurred vision,tingling in feet,weight loss,slow healing,,diabetes
loss of appetite,skin changes,weakness,weight loss,night sweats,fatigue,lump,,cancer
tingling in feet,hunger,frequent urination,slow healing,fatigue,increased thirst,weight loss,,diabetes
chest pain,irregular heartbeat,left arm pain,cold sweat,jaw pain,fatigue,dizziness,nausea,heart attack
fever,shortness of breath,cough,phlegm,chills,chest pain,rapid breathing,,pneumonia
headache,neck pain,vision issues,nausea,vomiting,sensitivity to light,fatigue,sound sensitivity,migraine
fever,phlegm,cough,chills,chest pain,fatigue,shortness of breath,,pneumonia
skin changes,weakness,weight loss,night sweats,loss of appetite,pain,bleeding,,cancer
slow healing,hunger,frequent urination,increased thirst,fatigue,weight loss,tingling in feet,,diabetes
nausea,jaw pain,irregular heartbeat,shortness of breath,cold sweat,left arm pain,chest pain,,heart attack
headache,abdominal pain,fever,loss of appetite,dry cough,constipation,body ache,,typhoid
headache,constipation,abdominal pain,dry cough,fever,loss of appetite,weakness,vomiting,typhoid
chest tightness,wheezing,rapid breathing,trouble sleeping,coughing,breathlessness,short breaths,,asthma
cold sweat,jaw pain,chest pain,nausea,irregular heartbeat,shortness of breath,left arm pain,,heart attack
short breaths,fatigue,breathlessness,rapid breathing,wheezing,chest tightness,trouble sleeping,coughing,asthma
bleeding,weakness,weight loss,loss of appetite,night sweats,pain,skin changes,,cancer
headache,fatigue,sensitivity to light,nausea,vomiting,sound sensitivity,vision issues,,migraine
loss of appetite,high temperature,body pain,chills,weakness,sweating,headache,sore throat,fever
weakness,headache,sweating,loss of appetite,fatigue,sore throat,body pain,chills,fever
fatigue,blurred vision,tingling in feet,slow healing,hunger,weight loss,frequent urination,increased thirst,diabetes
chest pain,rapid breathing,shortness of breath,cough,chills,phlegm,fatigue,fever,pneumonia
chest pain,dizziness,cold sweat,shortness of breath,irregular heartbeat,nausea,jaw pain,,heart attack
fatigue,headache,nausea,rapid heartbeat,vomiting,fever,muscle pain,,malaria
fatigue,nausea,shortness of breath,left arm pain,irregular heartbeat,cold sweat,jaw pain,,heart attack
muscle pain,chills,vomiting,rapid heartbeat,fatigue,nausea,fever,headache,malaria
night sweats,weight loss,skin changes,bleeding,loss of appetite,fatigue,weakness,,cancer
pain,skin changes,weight loss,lump,bleeding,loss of appetite,fatigue,,cancer
sound sensitivity,fatigue,neck pain,vomiting,headache,vision issues,sensitivity to light,nausea,migraine
left arm pain,irregular heartbeat,chest pain,cold sweat,dizziness,shortness of breath,jaw pain,fatigue,heart attack
skin changes,loss of appetite,bleeding,fatigue,weight loss,pain,lump,,cancer
fever,dry cough,constipation,abdominal pain,loss of appetite,headache,body ache,,typhoid
chest tightness,rapid breathing,coughing,trouble sleeping,breathlessness,wheezing,fatigue,short breaths,asthma
short breaths,wheezing,coughing,fatigue,trouble sleeping,rapid breathing,chest tightness,breathlessness,asthma
blurred vision,frequent urination,weight loss,hunger,fatigue,tingling in feet,slow healing,increased thirst,diabetes
sensitivity to light,sound sensitivity,vomiting,vision issues,nausea,neck pain,headache,,migraine
weakness,body pain,high temperature,sweating,headache,loss of appetite,chills,sore throat,fever
loss of appetite,headache,body ache,vomiting,abdominal pain,fever,weakness,dry cough,typhoid
breathlessness,coughing,wheezing,chest tightness,trouble sleeping,short breaths,fatigue,rapid breathing,asthma
chills,shortness of breath,fatigue,fever,chest pain,rapid breathing,cough,,pneumonia
headache,fatigue,high temperature,sore throat,loss of appetite,sweating,body pain,chills,fever
hair loss,depression,fatigue,memory problems,dry skin,slow heart rate,muscle weakness,,thyroid
fatigue,increased thirst,tingling in feet,frequent urination,blurred vision,weight loss,hunger,,diabetes
weight loss,lump,weakness,loss of appetite,fatigue,pain,night sweats,bleeding,cancer
weakness,skin changes,weight loss,night sweats,fatigue,loss of appetite,lump,pain,cancer
loss of appetite,abdominal pain,dry cough,fever,vomiting,constipation,headache,,typhoid
wheezing,short breaths,fatigue,trouble sleeping,chest tightness,breathlessness,rapid breathing,coughing,asthma
night sweats,skin changes,bleeding,pain,weight loss,loss of appetite,lump,,cancer
increased thirst,slow healing,blurred vision,hunger,tingling in feet,weight loss,frequent urination,,diabetes
body pain,headache,fatigue,loss of appetite,sore throat,chills,high temperature,,fever
loss of appetite,body pain,high temperature,fatigue,headache,chills,weakness,,fever
jaw pain,chest pain,shortness of breath,cold sweat,fatigue,left arm pain,dizziness,,heart attack
left arm pain,irregular heartbeat,jaw pain,chest pain,nausea,cold sweat,dizziness,,heart attack
short breaths,wheezing,rapid breathing,trouble sleeping,fatigue,chest tightness,breathlessness,coughing,asthma
sound sensitivity,neck pain,vomiting,vision issues,nausea,headache,sensitivity to light,fatigue,migraine
chills,weakness,body pain,loss of appetite,sore throat,fatigue,sweating,high temperature,fever
vomiting,fever,chills,sweating,fatigue,rapid heartbeat,nausea,,malaria
weakness,night sweats,lump,skin changes,loss of appetite,pain,bleeding,,cancer
chest pain,fever,fatigue,cough,shortness of breath,chills,rapid breathing,,pneumonia
fatigue,sensitivity to light,headache,nausea,vision issues,sound sensitivity,neck pain,vomiting,migraine
loss of appetite,sore throat,fatigue,body pain,high temperature,weakness,sweating,chills,fever
muscle weakness,hair loss,depression,weight gain,fatigue,dry skin,slow heart rate,,thyroid
nausea,vomiting,headache,sweating,rapid heartbeat,fatigue,muscle pain,,malaria
frequent urination,fatigue,slow healing,weight loss,hunger,tingling in feet,blurred vision,increased thirst,diabetes
cough,rapid breathing,fatigue,fever,chest pain,shortness of breath,chills,,pneumonia
coughing,wheezing,rapid breathing,short breaths,chest tightness,trouble sleeping,fatigue,,asthma
slow heart rate,dry skin,hair loss,fatigue,weight gain,depression,memory problems,muscle weakness,thyroid
vomiting,headache,weakness,fever,constipation,loss of appetite,abdominal pain,,typhoid
breathlessness,fatigue,wheezing,rapid breathing,coughing,short breaths,trouble sleeping,,asthma
short breaths,coughing,rapid breathing,breathlessness,trouble sleeping,fatigue,wheezing,chest tightness,asthma
headache,neck pain,sensitivity to light,vision issues,nausea,fatigue,vomiting,,migraine
slow healing,increased thirst,weight loss,fatigue,hunger,blurred vision,frequent urination,,diabetes
chills,fatigue,sweating,headache,sore throat,weakness,loss of appetite,high temperature,fever
vomiting,rapid heartbeat,chills,fever,nausea,sweating,fatigue,headache,malaria
depression,dry skin,slow heart rate,weight gain,muscle weakness,fatigue,memory problems,,thyroid
hunger,blurred vision,fatigue,increased thirst,slow healing,tingling in feet,frequent urination,weight loss,diabetes
weakness,loss of appetite,abdominal pain,vomiting,constipation,headache,dry cough,,typhoid
high temperature,body pain,weakness,sweating,fatigue,sore throat,chills,loss of appetite,fever
constipation,dry cough,body ache,abdominal pain,headache,vomiting,fever,weakness,typhoid
wheezing,coughing,trouble sleeping,chest tightness,fatigue,breathlessness,short breaths,rapid breathing,asthma
sweating,fatigue,vomiting,chills,nausea,headache,fever,rapid heartbeat,malaria
muscle pain,headache,chills,rapid heartbeat,fever,nausea,vomiting,,malaria
blurred vision,weight loss,fatigue,tingling in feet,hunger,slow healing,increased thirst,,diabetes
vomiting,headache,sound sensitivity,sensitivity to light,vision issues,nausea,fatigue,,migraine
fever,constipation,headache,vomiting,loss of appetite,weakness,abdominal pain,,typhoid
short breaths,fatigue,breathlessness,wheezing,rapid breathing,coughing,chest tightness,trouble sleeping,asthma
shortness of breath,left arm pain,dizziness,fatigue,nausea,jaw pain,chest pain,,heart attack
weight loss,hunger,blurred vision,frequent urination,fatigue,slow healing,tingling in feet,,diabetes
vision issues,nausea,vomiting,sound sensitivity,headache,fatigue,sensitivity to light,,migraine
body ache,loss of appetite,abdominal pain,dry cough,headache,fever,vomiting,constipation,typhoid
wheezing,chest tightness,trouble sleeping,coughing,fatigue,rapid breathing,breathlessness,,asthma
coughing,breathlessness,trouble sleeping,wheezing,rapid breathing,fatigue,chest tightness,,asthma
shortness of breath,fever,fatigue,rapid breathing,cough,phlegm,chills,chest pain,pneumonia
fatigue,fever,headache,chills,rapid heartbeat,muscle pain,vomiting,nausea,malaria
sensitivity to light,headache,sound sensitivity,nausea,vision issues,vomiting,fatigue,,migraine
bleeding,loss of appetite,weight loss,lump,skin changes,pain,weakness,,cancer
muscle pain,vomiting,rapid heartbeat,headache,nausea,chills,sweating,fever,malaria
constipation,headache,weakness,fever,abdominal pain,dry cough,loss of appetite,body ache,typhoid
jaw pain,dizziness,irregular heartbeat,nausea,fatigue,left arm pain,shortness of breath,,heart attack
increased thirst,fatigue,blurred vision,weight loss,slow healing,tingling in feet,frequent urination,hunger,diabetes
vision issues,neck pain,headache,sound sensitivity,sensitivity to light,fatigue,nausea,vomiting,migraine
abdominal pain,loss of appetite,weakness,constipation,dry cough,headache,vomiting,,typhoid
fatigue,weight loss,bleeding,weakness,lump,loss of appetite,skin changes,pain,cancer
night sweats,lump,fatigue,weight loss,loss of appetite,weakness,pain,skin changes,cancer
phlegm,cough,fatigue,fever,shortness of breath,rapid breathing,chest pain,,pneumonia
headache,sound sensitivity,vomiting,sensitivity to light,nausea,vision issues,fatigue,,migraine
dry skin,weight gain,depression,muscle weakness,hair loss,fatigue,slow heart rate,memory problems,thyroid
vomiting,fever,fatigue,muscle pain,rapid heartbeat,headache,nausea,chills,malaria
chills,fatigue,fever,cough,chest pain,phlegm,shortness of breath,rapid breathing,pneumonia
nausea,chills,headache,fever,sweating,rapid heartbeat,fatigue,,malaria
chills,sore throat,body pain,loss of appetite,fatigue,weakness,sweating,,fever
tingling in feet,increased thirst,blurred vision,hunger,weight loss,fatigue,frequent urination,slow healing,diabetes
pain,lump,skin changes,fatigue,loss of appetite,weakness,night sweats,,cancer
chills,headache,sweating,loss of appetite,body pain,high temperature,sore throat,,fever
neck pain,headache,vision issues,sound sensitivity,vomiting,nausea,fatigue,,migraine
rapid breathing,chest pain,fatigue,chills,phlegm,cough,fever,shortness of breath,pneumonia
fatigue,fever,sweating,chills,rapid heartbeat,nausea,muscle pain,,malaria
fatigue,muscle weakness,slow heart rate,hair loss,depression,memory problems,weight gain,,thyroid
muscle pain,chills,sweating,rapid heartbeat,headache,vomiting,fatigue,,malaria
chills,vomiting,rapid heartbeat,muscle pain,nausea,fatigue,fever,,malaria
fatigue,tingling in feet,blurred vision,frequent urination,hunger,slow healing,weight loss,increased thirst,diabetes
depression,slow heart rate,memory problems,hair loss,dry skin,fatigue,weight gain,muscle weakness,thyroid
rapid breathing,fever,fatigue,chills,chest pain,phlegm,cough,shortness of breath,pneumonia
vision issues,nausea,vomiting,sensitivity to light,sound sensitivity,headache,fatigue,,migraine
chills,cough,fatigue,fever,rapid breathing,phlegm,shortness of breath,,pneumonia
chills,weakness,headache,loss of appetite,sweating,sore throat,high temperature,,fever
fatigue,chest tightness,wheezing,trouble sleeping,breathlessness,short breaths,rapid breathing,,asthma
memory problems,dry skin,hair loss,slow heart rate,fatigue,weight gain,muscle weakness,,thyroid
sensitivity to light,nausea,vision issues,headache,neck pain,sound sensitivity,fatigue,,migraine
lump,pain,weakness,weight loss,loss of appetite,night sweats,bleeding,,cancer
coughing,breathlessness,wheezing,rapid breathing,fatigue,trouble sleeping,chest tightness,,asthma
short breaths,coughing,breathlessness,fatigue,trouble sleeping,wheezing,rapid breathing,,asthma
cough,fatigue,phlegm,chills,shortness of breath,fever,chest pain,,pneumonia
muscle pain,vomiting,rapid heartbeat,fatigue,nausea,sweating,headache,,malaria
weight gain,dry skin,memory problems,slow heart rate,muscle weakness,depression,fatigue,hair loss,thyroid
hunger,frequent urination,fatigue,slow healing,tingling in feet,increased thirst,blurred vision,,diabetes
blurred vision,slow healing,weight loss,frequent urination,tingling in feet,fatigue,hunger,increased thirst,diabetes
nausea,vomiting,vision issues,sensitivity to light,neck pain,sound sensitivity,fatigue,,migraine
fever,muscle pain,chills,sweating,fatigue,rapid heartbeat,nausea,,malaria
weakness,dry cough,body ache,constipation,loss of appetite,vomiting,fever,,typhoid
chest tightness,fatigue,wheezing,rapid breathing,coughing,trouble sleeping,breathlessness,short breaths,asthma
headache,sound sensitivity,vomiting,fatigue,sensitivity to light,neck pain,vision issues,,migraine
blurred vision,tingling in feet,slow healing,frequent urination,hunger,fatigue,weight loss,increased thirst,diabetes
breathlessness,trouble sleeping,coughing,fatigue,rapid breathing,wheezing,short breaths,chest tightness,asthma
constipation,headache,loss of appetite,abdominal pain,dry cough,weakness,fever,vomiting,typhoid
breathlessness,short breaths,trouble sleeping,rapid breathing,coughing,wheezing,chest tightness,fatigue,asthma
fever,vomiting,headache,abdominal pain,constipation,weakness,dry cough,,typhoid
rapid breathing,trouble sleeping,chest tightness,short breaths,coughing,wheezing,breathlessness,fatigue,asthma
sound sensitivity,neck pain,headache,fatigue,sensitivity to light,nausea,vomiting,,migraine
rapid heartbeat,nausea,vomiting,fever,fatigue,sweating,muscle pain,chills,malaria
weight loss,frequent urination,slow healing,hunger,blurred vision,fatigue,increased thirst,tingling in feet,diabetes
vomiting,muscle pain,rapid heartbeat,nausea,fatigue,headache,fever,sweating,malaria
bleeding,skin changes,fatigue,weight loss,loss of appetite,lump,night sweats,,cancer
chest pain,nausea,dizziness,cold sweat,irregular heartbeat,left arm pain,jaw pain,,heart attack
fatigue,neck pain,vision issues,vomiting,nausea,sensitivity to light,sound sensitivity,,migraine
dry cough,constipation,vomiting,loss of appetite,fever,weakness,abdominal pain,,typhoid
chest pain,rapid breathing,cough,shortness of breath,fever,chills,fatigue,,pneumonia
nausea,chills,sweating,headache,vomiting,fever,fatigue,rapid heartbeat,malaria
slow healing,fatigue,hunger,tingling in feet,increased thirst,weight loss,frequent urination,blurred vision,diabetes
vomiting,fever,fatigue,chills,rapid heartbeat,headache,nausea,,malaria
loss of appetite,weakness,body ache,abdominal pain,vomiting,constipation,fever,dry cough,typhoid
dry cough,vomiting,body ache,headache,constipation,weakness,abdominal pain,,typhoid
chest pain,nausea,dizziness,left arm pain,shortness of breath,fatigue,jaw pain,,heart attack
loss of appetite,constipation,body ache,weakness,headache,abdominal pain,fever,,typhoid
constipation,headache,dry cough,body ache,loss of appetite,vomiting,weakness,abdominal pain,typhoid
headache,body ache,vomiting,loss of appetite,dry cough,weakness,fever,abdominal pain,typhoid
fatigue,body pain,loss of appetite,high temperature,weakness,sore throat,chills,,fever
jaw pain,cold sweat,irregular heartbeat,nausea,left arm pain,fatigue,dizziness,,heart attack
shortness of breath,chills,rapid breathing,chest pain,fatigue,phlegm,fever,,pneumonia
chills,fatigue,headache,rapid heartbeat,vomiting,sweating,fever,,malaria
fatigue,sore throat,chills,loss of appetite,sweating,headache,high temperature,weakness,fever
fatigue,left arm pain,chest pain,shortness of breath,irregular heartbeat,dizziness,jaw pain,,heart attack
chills,fever,vomiting,muscle pain,fatigue,rapid heartbeat,headache,,malaria
dry cough,abdominal pain,weakness,loss of appetite,body ache,vomiting,constipation,,typhoid
dizziness,shortness of breath,left arm pain,irregular heartbeat,nausea,jaw pain,fatigue,,heart attack
pain,skin changes,bleeding,night sweats,weakness,lump,fatigue,,cancer
memory problems,weight gain,muscle weakness,dry skin,slow heart rate,depression,fatigue,,thyroid
fatigue,weight loss,skin changes,bleeding,pain,lump,loss of appetite,,cancer
tingling in feet,blurred vision,weight loss,fatigue,frequent urination,increased thirst,slow healing,hunger,diabetes
chest pain,chills,rapid breathing,cough,phlegm,shortness of breath,fever,,pneumonia
chills,fever,chest pain,fatigue,rapid breathing,cough,shortness of breath,,pneumonia
constipation,headache,loss of appetite,weakness,dry cough,vomiting,fever,body ache,typhoid
bleeding,night sweats,weakness,weight loss,pain,skin changes,lump,,cancer
memory problems,slow heart rate,hair loss,dry skin,muscle weakness,weight gain,fatigue,depression,thyroid
night sweats,skin changes,pain,weight loss,loss of appetite,bleeding,weakness,fatigue,cancer
fatigue,night sweats,bleeding,weakness,lump,pain,weight loss,loss of appetite,cancer
hair loss,fatigue,memory problems,slow heart rate,dry skin,weight gain,muscle weakness,depression,thyroid
fever,vomiting,nausea,rapid heartbeat,fatigue,muscle pain,sweating,,malaria
night sweats,weight loss,pain,loss of appetite,bleeding,fatigue,lump,,cancer
constipation,loss of appetite,headache,vomiting,abdominal pain,dry cough,body ache,,typhoid
loss of appetite,weight loss,bleeding,lump,night sweats,weakness,pain,skin changes,cancer
nausea,chest pain,irregular heartbeat,jaw pain,left arm pain,dizziness,fatigue,cold sweat,heart attack
vision issues,vomiting,fatigue,neck pain,headache,sensitivity to light,nausea,sound sensitivity,migraine
depression,slow heart rate,weight gain,muscle weakness,memory problems,fatigue,dry skin,hair loss,thyroid
sound sensitivity,nausea,fatigue,neck pain,headache,vomiting,sensitivity to light,,migraine
loss of appetite,high temperature,body pain,weakness,chills,sore throat,fatigue,headache,fever
fatigue,nausea,chills,sweating,fever,vomiting,muscle pain,,malaria
slow heart rate,depression,fatigue,dry skin,weight gain,memory problems,hair loss,,thyroid
fatigue,headache,loss of appetite,body pain,chills,weakness,high temperature,,fever
constipation,vomiting,loss of appetite,headache,abdominal pain,body ache,fever,,typhoid
cold sweat,fatigue,chest pain,left arm pain,nausea,shortness of breath,dizziness,jaw pain,heart attack
weight loss,slow healing,increased thirst,blurred vision,fatigue,tingling in feet,hunger,frequent urination,diabetes
dry skin,hair loss,depression,slow heart rate,fatigue,memory problems,muscle weakness,weight gain,thyroid
chest pain,phlegm,cough,fever,chills,shortness of breath,fatigue,rapid breathing,pneumonia
weakness,constipation,headache,dry cough,fever,body ache,vomiting,abdominal pain,typhoid
dry skin,memory problems,muscle weakness,depression,hair loss,slow heart rate,weight gain,,thyroid
sweating,headache,body pain,high temperature,sore throat,fatigue,loss of appetite,weakness,fever
